"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"28/06/2021","21,37","21,51","0,65","21,10","21,82","445,00M"
"25/06/2021","21,75","21,37","-1,20","21,04","21,91","639,57M"
"25/06/2021","21,75","21,37","-1,20","21,04","21,91","639,57M"
"24/06/2021","20,78","21,63","5,20","20,68","21,71","670,86M"
"24/06/2021","20,78","21,63","5,20","20,68","21,71","670,86M"
"23/06/2021","20,93","20,56","-1,86","20,49","21,20","336,62M"
"23/06/2021","20,93","20,56","-1,86","20,49","21,20","336,62M"
"22/06/2021","21,31","20,95","-1,41","20,64","21,32","341,11M"
"22/06/2021","21,31","20,95","-1,41","20,64","21,32","341,11M"
"21/06/2021","21,15","21,25","0,95","20,86","21,30","230,17M"
"21/06/2021","21,15","21,25","0,95","20,86","21,30","230,17M"
"18/06/2021","21,29","21,05","-1,13","21,00","21,49","603,08M"
"18/06/2021","21,29","21,05","-1,13","21,00","21,49","603,08M"
"17/06/2021","20,28","21,29","4,92","20,06","21,35","635,05M"
"17/06/2021","20,28","21,29","4,92","20,06","21,35","635,05M"
"16/06/2021","20,93","20,29","-2,78","20,04","20,98","593,72M"
"16/06/2021","20,93","20,29","-2,78","20,04","20,98","593,72M"
"15/06/2021","20,54","20,87","1,46","20,46","21,16","471,02M"
"15/06/2021","20,54","20,87","1,46","20,46","21,16","471,02M"
"14/06/2021","20,42","20,57","1,03","20,36","20,71","232,37M"
"14/06/2021","20,42","20,57","1,03","20,36","20,71","232,37M"
"11/06/2021","20,26","20,36","0,49","19,97","20,46","227,53M"
"11/06/2021","20,26","20,36","0,49","19,97","20,46","227,53M"
"10/06/2021","20,32","20,26","0,05","19,91","20,37","257,36M"
"10/06/2021","20,32","20,26","0,05","19,91","20,37","257,36M"
"09/06/2021","21,03","20,25","-3,71","20,20","21,07","540,27M"
"09/06/2021","21,03","20,25","-3,71","20,20","21,07","540,27M"
"08/06/2021","21,07","21,03","1,20","20,83","21,41","738,37M"
"08/06/2021","21,07","21,03","1,20","20,83","21,41","738,37M"
"07/06/2021","20,92","20,78","-0,24","20,55","20,97","280,31M"
"07/06/2021","20,92","20,78","-0,24","20,55","20,97","280,31M"
"04/06/2021","20,59","20,83","1,71","20,49","21,03","369,93M"
"04/06/2021","20,59","20,83","1,71","20,49","21,03","369,93M"
"02/06/2021","20,39","20,48","0,74","20,23","21,24","561,79M"
"02/06/2021","20,39","20,48","0,74","20,23","21,24","561,79M"
"01/06/2021","20,24","20,33","0,94","20,19","20,63","363,77M"
"01/06/2021","20,24","20,33","0,94","20,19","20,63","363,77M"
"31/05/2021","20,24","20,14","-0,44","19,96","20,38","249,83M"
"31/05/2021","20,24","20,14","-0,44","19,96","20,38","249,83M"
"28/05/2021","19,68","20,23","3,37","19,60","20,40","388,25M"
"28/05/2021","19,68","20,23","3,37","19,60","20,40","388,25M"
"27/05/2021","19,72","19,57","-0,41","19,45","19,82","437,82M"
"27/05/2021","19,72","19,57","-0,41","19,45","19,82","437,82M"
"26/05/2021","20,34","19,65","-1,75","19,63","20,37","350,73M"
"26/05/2021","20,34","19,65","-1,75","19,63","20,37","350,73M"
"25/05/2021","20,18","20,00","0,10","20,00","20,64","681,28M"
"25/05/2021","20,18","20,00","0,10","20,00","20,64","681,28M"
"24/05/2021","18,53","19,98","7,93","18,49","20,04","856,02M"
"24/05/2021","18,53","19,98","7,93","18,49","20,04","856,02M"
"21/05/2021","18,73","18,51","-1,12","18,23","18,76","419,71M"
"21/05/2021","18,73","18,51","-1,12","18,23","18,76","419,71M"
"20/05/2021","18,66","18,72","0,32","18,58","18,86","205,22M"
"20/05/2021","18,66","18,72","0,32","18,58","18,86","205,22M"
"19/05/2021","18,74","18,66","-1,53","18,52","19,10","312,37M"
"19/05/2021","18,74","18,66","-1,53","18,52","19,10","312,37M"
"18/05/2021","18,81","18,95","0,58","18,75","19,39","340,98M"
"18/05/2021","18,81","18,95","0,58","18,75","19,39","340,98M"
"17/05/2021","19,10","18,84","-1,51","18,71","19,20","292,42M"
"17/05/2021","19,10","18,84","-1,51","18,71","19,20","292,42M"
"14/05/2021","19,58","19,13","0,10","18,95","19,72","514,15M"
"14/05/2021","19,58","19,13","0,10","18,95","19,72","514,15M"
"13/05/2021","18,79","19,11","2,90","18,71","19,23","375,68M"
"13/05/2021","18,79","19,11","2,90","18,71","19,23","375,68M"
"12/05/2021","18,98","18,57","-3,78","18,48","19,13","403,08M"
"12/05/2021","18,98","18,57","-3,78","18,48","19,13","403,08M"
"11/05/2021","18,98","19,30","0,63","18,64","19,37","505,30M"
"11/05/2021","18,98","19,30","0,63","18,64","19,37","505,30M"
"10/05/2021","19,87","19,18","-3,47","19,03","19,96","421,31M"
"10/05/2021","19,87","19,18","-3,47","19,03","19,96","421,31M"
