"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.09.2020","43,15","43,22","43,80","42,53","204,66K","-0,35%"
"17.09.2020","43,30","42,32","43,50","41,50","237,40K","2,56%"
"16.09.2020","42,22","40,72","42,44","40,59","237,25K","4,17%"
"15.09.2020","40,53","39,70","40,82","39,39","214,80K","2,32%"
"14.09.2020","39,61","39,78","40,09","39,30","200,09K","-0,55%"
"11.09.2020","39,83","39,96","40,34","39,38","211,88K","-0,57%"
"10.09.2020","40,06","40,58","40,96","39,71","208,86K","-1,79%"
"09.09.2020","40,79","39,65","41,20","39,37","278,22K","2,54%"
"08.09.2020","39,78","42,08","42,23","39,31","363,53K","-5,31%"
"07.09.2020","42,01","42,20","42,43","41,51","122,98K","-1,52%"
"04.09.2020","42,66","43,76","44,54","42,30","270,96K","-3,20%"
"03.09.2020","44,07","44,65","44,65","43,15","274,93K","-0,81%"
"02.09.2020","44,43","45,83","46,05","44,20","260,14K","-2,52%"
"01.09.2020","45,58","45,60","46,22","45,47","206,72K","0,66%"
"31.08.2020","45,28","45,80","46,53","45,21","174,31K","0,51%"
"28.08.2020","45,05","45,10","45,30","44,80","21,14K","-0,09%"
"27.08.2020","45,09","45,70","45,87","44,56","102,26K","-1,21%"
"26.08.2020","45,64","45,97","46,10","45,54","132,51K","-0,48%"
"25.08.2020","45,86","45,12","46,07","45,08","178,31K","1,62%"
"24.08.2020","45,13","44,50","45,18","44,29","176,64K","1,76%"
"21.08.2020","44,35","45,03","45,08","43,59","221,99K","-1,22%"
"20.08.2020","44,90","45,14","45,18","44,02","249,74K","-1,04%"
"19.08.2020","45,37","45,17","45,48","44,81","174,88K","-0,20%"
"18.08.2020","45,46","45,27","45,55","44,76","181,69K","0,20%"
"17.08.2020","45,37","44,86","45,41","44,53","164,23K","1,27%"
"14.08.2020","44,80","45,29","45,29","44,47","151,46K","-0,36%"
"13.08.2020","44,96","45,32","45,58","44,82","148,41K","-1,03%"
"12.08.2020","45,43","44,62","45,63","44,49","166,48K","2,09%"
"11.08.2020","44,50","45,05","45,79","44,39","202,74K","-1,09%"
"10.08.2020","44,99","44,66","45,26","44,37","135,30K","1,33%"
"07.08.2020","44,40","45,15","45,30","44,27","171,72K","-1,53%"
"06.08.2020","45,09","45,32","45,71","44,85","184,52K","-0,18%"
"05.08.2020","45,17","44,28","46,23","44,24","246,98K","1,67%"
"04.08.2020","44,43","43,84","44,82","43,24","227,12K","0,63%"
"03.08.2020","44,15","43,53","44,46","42,89","198,70K","1,96%"
"31.07.2020","43,30","43,29","43,44","43,05","14,42K","0,84%"
"30.07.2020","42,94","43,73","43,80","41,38","63,20K","-1,85%"
"29.07.2020","43,75","43,31","43,95","43,20","64,92K","1,23%"
"28.07.2020","43,22","43,55","43,84","43,00","107,34K","-0,44%"
"27.07.2020","43,41","43,35","43,77","42,39","174,75K","0,16%"
"24.07.2020","43,34","43,27","43,90","42,79","191,05K","0,07%"
"23.07.2020","43,31","44,10","44,77","43,13","262,24K","-2,21%"
"22.07.2020","44,29","44,03","44,40","43,62","202,16K","-0,07%"
"21.07.2020","44,32","43,17","44,89","43,16","229,78K","2,40%"
"20.07.2020","43,28","43,08","43,45","42,36","179,43K","0,32%"
"17.07.2020","43,14","43,40","43,45","42,64","162,40K","-0,53%"
"16.07.2020","43,37","43,71","43,80","43,14","172,16K","-0,96%"
"15.07.2020","43,79","43,07","43,85","42,70","232,18K","2,07%"
"14.07.2020","42,90","42,24","43,22","41,80","221,12K","0,42%"
"13.07.2020","42,72","43,12","43,34","42,14","200,31K","-1,20%"
"10.07.2020","43,24","42,36","43,42","41,32","214,05K","2,10%"
"09.07.2020","42,35","43,30","43,50","41,94","237,75K","-2,17%"
"08.07.2020","43,29","42,81","43,47","42,75","185,14K","0,49%"
"07.07.2020","43,08","43,13","43,45","42,46","183,23K","-0,05%"
"06.07.2020","43,10","42,79","43,71","42,74","185,02K","0,70%"
"03.07.2020","42,80","42,76","42,99","42,32","96,78K","-0,79%"
"02.07.2020","43,14","41,84","43,23","41,73","196,69K","2,64%"
"01.07.2020","42,03","41,58","42,62","41,03","252,52K","2,14%"
"30.06.2020","41,15","41,33","41,62","40,90","12,60K","-1,34%"
"29.06.2020","41,71","40,56","41,95","40,04","86,78K","1,68%"
"26.06.2020","41,02","41,44","41,81","40,29","120,32K","-0,07%"
"25.06.2020","41,05","40,35","41,64","39,47","166,05K","1,84%"
"24.06.2020","40,31","42,45","42,89","39,63","195,72K","-5,44%"
"23.06.2020","42,63","43,21","43,93","42,21","183,03K","-1,04%"
"22.06.2020","43,08","41,74","43,18","41,58","187,65K","2,11%"
"19.06.2020","42,19","41,72","42,92","41,03","217,49K","1,64%"
"18.06.2020","41,51","40,43","41,64","40,06","175,79K","1,97%"
"17.06.2020","40,71","40,61","41,46","40,03","175,24K","-0,61%"
"16.06.2020","40,96","39,94","41,65","38,95","248,58K","3,12%"
"15.06.2020","39,72","38,80","39,90","37,24","215,42K","2,56%"
"12.06.2020","38,73","37,88","39,45","37,01","237,89K","0,47%"
"11.06.2020","38,55","40,95","41,01","37,82","290,17K","-7,62%"
"10.06.2020","41,73","40,72","41,99","40,14","234,19K","1,34%"
"09.06.2020","41,18","41,10","41,45","39,85","222,36K","0,93%"
"08.06.2020","40,80","42,40","43,41","40,68","227,88K","-3,55%"
"05.06.2020","42,30","39,84","42,48","39,72","250,31K","5,78%"
"04.06.2020","39,99","39,60","40,10","39,04","172,61K","0,50%"
"03.06.2020","39,79","39,75","40,53","38,76","239,43K","0,56%"
"02.06.2020","39,57","38,34","39,75","38,26","205,22K","3,26%"
"01.06.2020","38,32","37,56","38,68","37,18","212,78K","8,46%"
"29.05.2020","35,33","35,15","35,37","34,06","14,71K","0,11%"
"28.05.2020","35,29","33,92","35,95","33,62","70,99K","1,58%"
"27.05.2020","34,74","35,93","36,16","33,98","112,25K","-3,95%"
"26.05.2020","36,17","35,66","36,68","35,26","129,98K","1,80%"
"25.05.2020","35,53","34,98","35,97","34,46","28,96K","1,14%"
"22.05.2020","35,13","36,18","36,23","33,54","174,59K","-2,58%"
"21.05.2020","36,06","35,82","36,98","35,75","178,55K","0,87%"
"20.05.2020","35,75","34,45","36,46","34,38","191,27K","3,17%"
"19.05.2020","34,65","35,66","35,76","34,20","188,93K","-0,46%"
"18.05.2020","34,81","32,78","35,72","32,69","232,25K","7,11%"
"15.05.2020","32,50","31,52","32,91","30,94","211,28K","4,40%"
"14.05.2020","31,13","29,52","31,55","28,88","222,21K","6,65%"
"13.05.2020","29,19","29,35","30,55","28,86","221,11K","-2,64%"
"12.05.2020","29,98","30,07","30,70","29,35","202,47K","1,18%"
"11.05.2020","29,63","30,70","31,47","29,35","242,21K","-4,33%"
"08.05.2020","30,97","29,60","31,14","29,43","147,30K","5,13%"
"07.05.2020","29,46","29,64","31,84","29,08","259,89K","-0,87%"
"06.05.2020","29,72","32,27","32,27","28,66","268,46K","-4,04%"
"05.05.2020","30,97","28,10","32,06","27,77","267,14K","13,86%"
"04.05.2020","27,20","26,10","28,08","25,50","215,73K","2,87%"
"01.05.2020","26,44","26,95","27,88","25,76","216,98K","4,63%"
"30.04.2020","25,27","22,87","25,76","22,87","9,69K","12,11%"
"29.04.2020","22,54","20,66","23,88","20,53","86,55K","10,17%"
"28.04.2020","20,46","19,90","21,29","18,73","123,22K","2,35%"
"27.04.2020","19,99","21,55","21,91","19,11","162,39K","-6,76%"
"24.04.2020","21,44","21,93","22,70","20,50","187,00K","0,52%"
"23.04.2020","21,33","20,89","23,22","20,07","256,30K","4,71%"
"22.04.2020","20,37","20,23","22,45","15,98","344,76K","5,38%"
"21.04.2020","19,33","26,33","26,50","17,51","637,21K","-24,40%"
"20.04.2020","25,57","28,05","28,25","25,37","361,83K","-8,94%"
"17.04.2020","28,08","28,66","28,93","27,58","286,17K","0,93%"
"16.04.2020","27,82","28,05","29,00","27,20","272,98K","0,47%"
"15.04.2020","27,69","30,26","30,33","27,16","284,34K","-6,45%"
"14.04.2020","29,60","32,25","32,32","29,38","297,55K","-6,74%"
"13.04.2020","31,74","33,99","33,99","30,63","223,29K","0,83%"
"09.04.2020","31,48","33,82","36,40","31,18","493,00K","-4,14%"
"08.04.2020","32,84","32,63","33,87","31,54","320,61K","3,04%"
"07.04.2020","31,87","33,66","34,18","31,74","303,42K","-3,57%"
"06.04.2020","33,05","31,76","34,24","30,03","296,07K","-3,11%"
"03.04.2020","34,11","29,89","35,00","28,25","541,28K","13,93%"
"02.04.2020","29,94","25,61","36,29","25,45","612,27K","21,02%"
"01.04.2020","24,74","25,99","26,28","24,52","347,29K","8,80%"
"31.03.2020","22,74","23,00","23,87","22,59","14,77K","-0,09%"
"30.03.2020","22,76","23,85","24,44","21,65","62,08K","-8,70%"
"27.03.2020","24,93","26,68","27,00","24,13","112,74K","-5,35%"
"26.03.2020","26,34","27,35","27,75","26,03","139,18K","-3,83%"
"25.03.2020","27,39","27,80","28,29","25,68","154,94K","0,88%"
"24.03.2020","27,15","27,72","28,65","26,69","198,91K","0,44%"
"23.03.2020","27,03","26,75","27,54","24,68","257,59K","0,19%"
"20.03.2020","26,98","28,10","30,94","26,81","313,84K","-5,23%"
"19.03.2020","28,47","27,19","29,42","24,96","335,72K","14,43%"
"18.03.2020","24,88","28,40","29,21","24,52","348,40K","-13,40%"
"17.03.2020","28,73","30,14","31,25","28,50","270,24K","-4,39%"
"16.03.2020","30,05","35,82","35,84","29,45","330,12K","-11,23%"
"13.03.2020","33,85","32,85","36,15","32,50","360,63K","1,90%"
"12.03.2020","33,22","35,99","36,46","32,50","472,74K","-7,18%"
"11.03.2020","35,79","37,27","39,70","35,35","471,77K","-3,84%"
"10.03.2020","37,22","35,84","38,22","35,00","551,29K","8,32%"
"09.03.2020","34,36","38,28","38,34","31,02","779,72K","-24,10%"
"06.03.2020","45,27","50,25","50,45","45,18","636,39K","-9,44%"
"05.03.2020","49,99","51,66","52,04","49,70","361,04K","-2,23%"
"04.03.2020","51,13","52,11","53,03","51,04","363,50K","-1,41%"
"03.03.2020","51,86","53,47","53,90","51,22","407,55K","-0,08%"
"02.03.2020","51,90","48,95","53,20","48,40","417,56K","2,73%"
"28.02.2020","50,52","51,42","51,52","50,05","20,36K","-3,18%"
"27.02.2020","52,18","53,18","53,25","50,97","112,16K","-2,34%"
"26.02.2020","53,43","55,13","55,45","53,03","171,50K","-2,77%"
"25.02.2020","54,95","56,46","56,98","54,62","210,28K","-2,40%"
"24.02.2020","56,30","57,85","57,86","55,13","236,33K","-3,76%"
