"Data","Último","Abertura","Máxima","Mínima","Var%"
"24.06.2020","5,3467","5,1525","5,3549","5,1525","3,73%"
"23.06.2020","5,1542","5,2524","5,2537","5,1336","-1,87%"
"22.06.2020","5,2524","5,2904","5,2968","5,1972","-1,09%"
"19.06.2020","5,3105","5,3780","5,3821","5,2881","-1,25%"
"18.06.2020","5,3776","5,2291","5,3884","5,2277","2,85%"
"17.06.2020","5,2286","5,2446","5,2716","5,1814","-0,27%"
"16.06.2020","5,2430","5,1173","5,2549","5,0477","1,69%"
"15.06.2020","5,1557","5,1314","5,2260","5,0786","2,08%"
"12.06.2020","5,0505","4,9774","5,1118","4,9765","1,50%"
"11.06.2020","4,9760","4,9740","4,9765","4,9740","0,06%"
"10.06.2020","4,9732","4,9000","4,9789","4,8380","1,51%"
"09.06.2020","4,8992","4,8229","4,9359","4,8229","1,58%"
"08.06.2020","4,8230","4,9619","4,9774","4,8175","-2,73%"
"05.06.2020","4,9585","5,1186","5,1196","4,9328","-3,14%"
"04.06.2020","5,1190","5,0624","5,1418","5,0244","1,12%"
"03.06.2020","5,0622","5,2007","5,2109","5,0159","-2,68%"
"02.06.2020","5,2014","5,3672","5,3700","5,1989","-3,02%"
"01.06.2020","5,3633","5,3340","5,4196","5,3100","0,51%"
"29.05.2020","5,3361","5,4049","5,4630","5,3190","-1,27%"
"28.05.2020","5,4045","5,2743","5,4113","5,2743","2,49%"
"27.05.2020","5,2733","5,3418","5,3610","5,2691","-1,34%"
"26.05.2020","5,3450","5,4432","5,4432","5,3340","-1,86%"
"25.05.2020","5,4461","5,4942","5,5301","5,4321","-1,58%"
"22.05.2020","5,5338","5,5536","5,6256","5,5229","-0,30%"
"21.05.2020","5,5507","5,6925","5,7062","5,5473","-2,49%"
"20.05.2020","5,6925","5,7559","5,7572","5,6694","-1,07%"
"19.05.2020","5,7540","5,7192","5,7687","5,6820","0,61%"
"18.05.2020","5,7190","5,8565","5,8565","5,6942","-2,33%"
"15.05.2020","5,8554","5,8110","5,8734","5,7590","0,76%"
"14.05.2020","5,8115","5,9248","5,9718","5,8022","-1,25%"
"13.05.2020","5,8852","5,8863","5,9440","5,8176","-0,01%"
"12.05.2020","5,8856","5,8190","5,8949","5,7420","1,16%"
"11.05.2020","5,8180","5,7825","5,8404","5,7651","1,50%"
"08.05.2020","5,7319","5,8123","5,8285","5,7178","-1,69%"
"07.05.2020","5,8307","5,7158","5,8770","5,7158","2,04%"
"06.05.2020","5,7140","5,5750","5,7235","5,5750","2,43%"
"05.05.2020","5,5783","5,5424","5,6044","5,4818","0,60%"
"04.05.2020","5,5450","5,6141","5,6143","5,5187","1,08%"
"01.05.2020","5,4856","5,4861","5,4861","5,4861","-0,00%"
"30.04.2020","5,4858","5,3346","5,4875","5,3306","2,83%"
"29.04.2020","5,3348","5,5019","5,5280","5,3340","-3,00%"
"28.04.2020","5,4999","5,6085","5,6221","5,4710","-2,70%"
"27.04.2020","5,6526","5,5427","5,7260","5,5345","1,11%"
"24.04.2020","5,5907","5,5339","5,7484","5,5339","1,03%"
"23.04.2020","5,5335","5,4557","5,5567","5,4008","1,38%"
"22.04.2020","5,4580","5,3184","5,4644","5,3028","2,67%"
"21.04.2020","5,3163","5,3172","5,3176","5,3166","-0,01%"
"20.04.2020","5,3168","5,2864","5,3201","5,2642","1,54%"
"17.04.2020","5,2363","5,2341","5,2761","5,2066","0,06%"
"16.04.2020","5,2333","5,2336","5,2683","5,2007","-0,06%"
"15.04.2020","5,2367","5,2228","5,2684","5,2157","1,45%"
"14.04.2020","5,1621","5,1811","5,2123","5,1484","-0,72%"
"13.04.2020","5,1994","5,1219","5,2088","5,1038","1,82%"
"10.04.2020","5,1063","5,1068","5,1068","5,1068","-0,01%"
"09.04.2020","5,1070","5,1260","5,1533","5,0487","-0,32%"
"08.04.2020","5,1233","5,2237","5,2489","5,1112","-1,88%"
"07.04.2020","5,2214","5,2817","5,2868","5,1819","-1,23%"
"06.04.2020","5,2863","5,2998","5,3114","5,2235","-1,20%"
"03.04.2020","5,3506","5,2566","5,3541","5,2557","1,85%"
"02.04.2020","5,2533","5,2485","5,2850","5,2221","0,08%"
"01.04.2020","5,2493","5,2252","5,2747","5,2210","0,86%"
"31.03.2020","5,2046","5,1881","5,2150","5,1680","0,21%"
"30.03.2020","5,1936","5,1180","5,1961","5,1128","1,84%"
"27.03.2020","5,0997","5,0235","5,1283","5,0235","1,56%"
"26.03.2020","5,0212","5,0349","5,0660","4,9733","-0,28%"
"25.03.2020","5,0353","5,0995","5,1109","4,9722","-1,24%"
"24.03.2020","5,0983","5,1431","5,1431","5,0412","-0,90%"
"23.03.2020","5,1444","5,0628","5,1479","5,0050","1,61%"
"20.03.2020","5,0627","5,0010","5,0662","4,9820","-0,65%"
"19.03.2020","5,0957","5,1098","5,2140","5,0682","-0,21%"
"18.03.2020","5,1064","5,0103","5,2550","5,0073","1,96%"
"17.03.2020","5,0084","5,0357","5,0873","4,9594","0,16%"
"16.03.2020","5,0002","4,8600","5,0690","4,8600","2,93%"
"13.03.2020","4,8580","4,7095","4,8810","4,6424","1,40%"
"12.03.2020","4,7910","4,8149","5,0284","4,7501","-0,47%"
"11.03.2020","4,8136","4,6400","4,8284","4,6400","3,69%"
"10.03.2020","4,6425","4,6742","4,6873","4,6345","-1,71%"
"09.03.2020","4,7231","4,7600","4,7943","4,7052","2,08%"
"06.03.2020","4,6269","4,6358","4,6720","4,6108","0,43%"
"05.03.2020","4,6073","4,5993","4,6672","4,5844","0,49%"
"04.03.2020","4,5847","4,5140","4,5881","4,5026","1,56%"
"03.03.2020","4,5144","4,4744","4,5184","4,4521","0,90%"
"02.03.2020","4,4740","4,4949","4,5068","4,4690","0,02%"
"28.02.2020","4,4733","4,5070","4,5143","4,4642","-0,29%"
"27.02.2020","4,4861","4,4497","4,5021","4,4471","0,81%"
"26.02.2020","4,4502","4,3884","4,4553","4,3880","1,42%"
"25.02.2020","4,3878","4,3883","4,3888","4,3879","0,00%"
"24.02.2020","4,3878","4,3884","4,3884","4,3883","-0,04%"
"21.02.2020","4,3895","4,3939","4,4068","4,3712","-0,09%"
"20.02.2020","4,3933","4,3653","4,3985","4,3580","0,65%"
"19.02.2020","4,3649","4,3564","4,3779","4,3562","0,21%"
"18.02.2020","4,3557","4,3280","4,3645","4,3252","0,66%"
"17.02.2020","4,3270","4,3003","4,3320","4,2969","0,69%"
"14.02.2020","4,2974","4,3504","4,3504","4,2906","-1,20%"
"13.02.2020","4,3498","4,3552","4,3835","4,3081","-0,11%"
"12.02.2020","4,3548","4,3319","4,3558","4,3232","0,54%"
"11.02.2020","4,3316","4,3252","4,3411","4,2969","0,16%"
"10.02.2020","4,3248","4,3210","4,3293","4,3040","0,10%"
"07.02.2020","4,3203","4,2825","4,3240","4,2793","0,89%"
