"Data","Último","Abertura","Máxima","Mínima","Var%"
"06.02.2020","4,2822","4,2357","4,2861","4,2086","1,11%"
"05.02.2020","4,2353","4,2552","4,2614","4,2263","-0,45%"
"04.02.2020","4,2545","4,2480","4,2625","4,2232","0,16%"
"03.02.2020","4,2476","4,2816","4,2828","4,2294","-0,80%"
"31.01.2020","4,2820","4,2438","4,2905","4,2438","0,92%"
"30.01.2020","4,2430","4,2304","4,2726","4,2303","0,30%"
"29.01.2020","4,2303","4,1948","4,2326","4,1814","0,86%"
"28.01.2020","4,1943","4,2112","4,2168","4,1867","-0,31%"
"27.01.2020","4,2074","4,1842","4,2318","4,1797","0,62%"
"24.01.2020","4,1814","4,1707","4,1918","4,1649","0,27%"
"23.01.2020","4,1703","4,1832","4,1906","4,1554","-0,29%"
"22.01.2020","4,1826","4,2020","4,2057","4,1724","-0,71%"
"21.01.2020","4,2123","4,1894","4,2178","4,1830","0,54%"
"20.01.2020","4,1898","4,1658","4,1922","4,1628","0,68%"
"17.01.2020","4,1616","4,1851","4,1936","4,1588","-0,55%"
"16.01.2020","4,1847","4,1756","4,2011","4,1593","0,23%"
"15.01.2020","4,1753","4,1322","4,1863","4,1310","1,03%"
"14.01.2020","4,1326","4,1474","4,1618","4,1214","-0,34%"
"13.01.2020","4,1466","4,0907","4,1469","4,0885","1,24%"
"10.01.2020","4,0960","4,0936","4,1051","4,0615","0,09%"
"09.01.2020","4,0925","4,0645","4,0935","4,0574","0,68%"
"08.01.2020","4,0647","4,0676","4,0788","4,0399","-0,07%"
"07.01.2020","4,0676","4,0620","4,0928","4,0549","0,15%"
"06.01.2020","4,0616","4,0567","4,0746","4,0463","-0,13%"
"03.01.2020","4,0669","4,0251","4,0720","4,0251","1,02%"
"02.01.2020","4,0260","4,0197","4,0413","4,0037","0,16%"
"01.01.2020","4,0195","4,0195","4,0195","4,0195","0,01%"
"31.12.2019","4,0190","4,0197","4,0198","4,0194","-0,00%"
"30.12.2019","4,0191","4,0490","4,0490","4,0083","-0,66%"
"27.12.2019","4,0456","4,0566","4,0620","4,0347","-0,25%"
"26.12.2019","4,0557","4,0825","4,0825","4,0457","-0,69%"
"25.12.2019","4,0838","4,0838","4,0838","4,0838","0,01%"
"24.12.2019","4,0833","4,0838","4,0838","4,0838","0,00%"
"23.12.2019","4,0833","4,1020","4,1020","4,0574","-0,46%"
"20.12.2019","4,1022","4,0704","4,1026","4,0580","0,81%"
"19.12.2019","4,0694","4,0634","4,0706","4,0508","0,16%"
"18.12.2019","4,0630","4,0684","4,0767","4,0462","-0,21%"
"17.12.2019","4,0716","4,0631","4,0785","4,0506","0,22%"
"16.12.2019","4,0628","4,1104","4,1104","4,0547","-1,10%"
"13.12.2019","4,1080","4,0920","4,1185","4,0752","0,43%"
"12.12.2019","4,0905","4,1241","4,1316","4,0817","-0,81%"
"11.12.2019","4,1238","4,1463","4,1467","4,1076","-0,55%"
"10.12.2019","4,1467","4,1427","4,1516","4,1326","0,11%"
"09.12.2019","4,1422","4,1415","4,1613","4,1239","0,03%"
"06.12.2019","4,1411","4,1859","4,1951","4,1340","-1,06%"
"05.12.2019","4,1856","4,2077","4,2238","4,1765","-0,53%"
"04.12.2019","4,2077","4,2054","4,2109","4,1827","0,03%"
"03.12.2019","4,2063","4,2236","4,2245","4,1849","-0,40%"
"02.12.2019","4,2230","4,2362","4,2541","4,2078","-0,32%"
"29.11.2019","4,2364","4,1894","4,2460","4,1830","1,11%"
"28.11.2019","4,1900","4,2641","4,2659","4,1901","-1,73%"
"27.11.2019","4,2636","4,2295","4,2713","4,2265","0,72%"
"26.11.2019","4,2330","4,2269","4,2778","4,2269","0,15%"
"25.11.2019","4,2266","4,1989","4,2312","4,1874","0,72%"
"22.11.2019","4,1962","4,1940","4,2013","4,1725","0,08%"
"21.11.2019","4,1930","4,1950","4,2244","4,1830","-0,06%"
"20.11.2019","4,1955","4,1933","4,1980","4,1933","0,03%"
"19.11.2019","4,1942","4,2055","4,2197","4,1859","-0,56%"
"18.11.2019","4,2177","4,1785","4,2196","4,1697","0,52%"
"15.11.2019","4,1957","4,1958","4,1962","4,1958","0,02%"
"14.11.2019","4,1949","4,1698","4,1993","4,1627","0,59%"
"13.11.2019","4,1702","4,1693","4,1904","4,1634","0,06%"
"12.11.2019","4,1675","4,1529","4,1878","4,1427","0,38%"
"11.11.2019","4,1516","4,1679","4,1716","4,1355","-0,28%"
"08.11.2019","4,1633","4,1146","4,1709","4,1081","1,53%"
"07.11.2019","4,1004","4,0840","4,1034","4,0420","0,42%"
"06.11.2019","4,0834","3,9935","4,0904","3,9753","2,25%"
"05.11.2019","3,9935","4,0123","4,0243","3,9831","-0,54%"
"04.11.2019","4,0152","3,9894","4,0199","3,9750","0,64%"
"01.11.2019","3,9897","4,0173","4,0211","3,9692","-0,69%"
"31.10.2019","4,0174","3,9925","4,0378","3,9637","0,70%"
"30.10.2019","3,9895","3,9990","4,0324","3,9815","-0,21%"
"29.10.2019","3,9980","3,9911","4,0052","3,9835","0,20%"
"28.10.2019","3,9902","4,0028","4,0098","3,9724","-0,32%"
"25.10.2019","4,0029","4,0420","4,0420","3,9914","-0,92%"
"24.10.2019","4,0401","4,0368","4,0458","3,9985","0,16%"
"23.10.2019","4,0337","4,0806","4,0925","4,0281","-1,18%"
"22.10.2019","4,0817","4,1294","4,1320","4,0609","-1,13%"
"21.10.2019","4,1285","4,1118","4,1523","4,1112","0,44%"
"18.10.2019","4,1105","4,1637","4,1657","4,1097","-1,26%"
"17.10.2019","4,1630","4,1509","4,1816","4,1263","0,30%"
"16.10.2019","4,1505","4,1803","4,1873","4,1469","-0,72%"
"15.10.2019","4,1805","4,1262","4,1817","4,1213","1,33%"
"14.10.2019","4,1255","4,1064","4,1382","4,1064","0,39%"
"11.10.2019","4,1094","4,1080","4,1266","4,0805","0,01%"
"10.10.2019","4,1089","4,1096","4,1378","4,0894","0,00%"
"09.10.2019","4,1089","4,0953","4,1112","4,0697","0,36%"
"08.10.2019","4,0942","4,1071","4,1132","4,0734","-0,31%"
"07.10.2019","4,1068","4,0561","4,1102","4,0560","1,27%"
"04.10.2019","4,0551","4,0842","4,0863","4,0498","-0,69%"
"03.10.2019","4,0832","4,1290","4,1304","4,0742","-1,10%"
"02.10.2019","4,1287","4,1575","4,1824","4,1272","-0,70%"
"01.10.2019","4,1578","4,1564","4,1858","4,1522","0,06%"
"30.09.2019","4,1551","4,1625","4,1722","4,1415","-0,12%"
"27.09.2019","4,1599","4,1705","4,1712","4,1445","-0,26%"
"26.09.2019","4,1707","4,1483","4,1733","4,1214","0,55%"
"25.09.2019","4,1477","4,1638","4,1948","4,1445","-0,41%"
"24.09.2019","4,1647","4,1642","4,1844","4,1536","0,04%"
"23.09.2019","4,1629","4,1500","4,1847","4,1444","0,38%"
"20.09.2019","4,1472","4,1673","4,1839","4,1459","-0,48%"
"19.09.2019","4,1672","4,1108","4,1690","4,1073","1,38%"
"18.09.2019","4,1106","4,0775","4,1146","4,0728","0,82%"
"17.09.2019","4,0773","4,0950","4,1174","4,0718","-0,07%"
"16.09.2019","4,0801","4,0858","4,1067","4,0750","-0,10%"
"13.09.2019","4,0840","4,0621","4,0957","4,0424","0,59%"
"12.09.2019","4,0602","4,0679","4,0710","4,0265","-0,17%"
"11.09.2019","4,0671","4,0807","4,0926","4,0511","-0,31%"
"10.09.2019","4,0798","4,0956","4,1297","4,0789","-0,35%"
"09.09.2019","4,0943","4,0630","4,1044","4,0477","0,83%"
"06.09.2019","4,0607","4,1086","4,1086","4,0534","-1,15%"
"05.09.2019","4,1081","4,0949","4,1152","4,0695","0,32%"
"04.09.2019","4,0948","4,1674","4,1678","4,0889","-1,75%"
"03.09.2019","4,1678","4,1858","4,1864","4,1505","-0,43%"
"02.09.2019","4,1857","4,1440","4,1894","4,1410","0,99%"
